month,p5,p50,p95
1,49709.28015722912,59593.284583961344,69884.91764097597
2,53798.46749862413,67306.0384790266,83952.56420123448
3,59093.567053052044,76515.0339337317,97377.6260395774
4,63711.60071953467,85427.59978281728,110572.13782454617
5,69010.25332774727,94849.20561553375,126818.20613436105
6,76796.6370114849,104377.22669475623,142889.3248675006
7,81978.45174522628,115346.30991544675,159754.08948374324
8,88713.55045709325,126041.77406573477,179336.98882267595
9,95158.83636331039,136488.4451816193,199251.06343743467
10,101495.63179177017,149361.164956323,220876.4789276911
11,107982.74041019313,162636.3244920321,244203.62510910374
12,116632.0951516696,174509.71589988278,268397.2441980889
13,122503.53954040151,188999.05270728894,297100.5831950901
14,131928.82699745792,202147.4821872978,324578.0465973456
15,139243.14937130467,219163.53089031155,355966.4244604948
16,149488.83563637946,233462.41080190009,386974.40521705156
17,157895.36036821274,250293.29626344747,415665.49364492414
18,165017.5797440634,267777.2701733694,461533.4632239479
19,176881.31803603366,289975.5926400611,484397.8008361796
20,182044.1617558122,305717.22660862235,519468.2894621418
21,189898.73358007666,327197.2488587083,565047.069160739
22,198738.60124820482,348449.83272713074,597138.9186313753
23,217695.36290323167,369393.7024993062,661207.3592583732
24,225434.71397254313,393429.8326458749,703703.9680907164
25,234492.1156281332,420192.9605897561,757632.0803654125
26,243648.93775560652,444632.37969257764,815877.6018743718
27,256135.6607422626,472900.7764537727,880557.9436968456
28,274174.707724207,500019.60088800767,949409.5842795409
29,283466.637051701,528999.9450910985,1023863.2525148392
30,299740.15967110015,557158.912105855,1109927.1410400402
31,298365.7429065825,590813.96926216,1184251.474970295
32,309499.2801430502,622098.6414659498,1261152.3264881228
33,322729.58450011385,666593.0889151682,1349455.4299553733
34,338992.7538362172,710095.9927498949,1428860.2410474436
35,352469.92688030016,751820.3995378964,1520365.9996292596
36,381408.1350688292,785784.2927962863,1654945.2902290216
37,397783.9037511334,828325.9827830406,1756260.856922502
38,413886.657325515,873635.4375479086,1894907.5275862322
39,420496.8856702342,904191.8209890055,1914726.033111837
40,438837.5530904265,957456.76353517,2089955.7509526021
41,459950.04387798416,1018535.2099975259,2259292.9101217273
42,483934.46419890784,1073650.0559678813,2330399.5722276033
43,500200.65999073273,1139898.7429196048,2493096.4563840264
44,526122.428790459,1201534.0090597249,2686501.0431995927
45,533280.0580237572,1265336.6650408162,2798529.2007687553
46,553768.2552974696,1340143.0953694829,2966210.69394016
47,589525.8079806444,1400294.1785934304,3273336.931584551
48,618115.426998572,1471393.7144819717,3547134.3286111997
49,645547.1442058984,1566539.652771543,3792315.683066809
50,673670.3543757203,1656950.9569488352,3938067.865752904
51,706100.1254621763,1747843.7299765013,4262383.309786966
52,736086.8119100761,1835426.3429091182,4578757.693904089
53,774373.9290012122,1947112.294832516,4707696.300765892
54,817520.9736718604,2030451.5477883841,5091008.028639739
55,854436.0618182558,2150003.379429158,5391323.087662677
56,904141.1828406688,2265088.709985841,5760253.06326185
57,918367.7678142949,2378261.2832420766,6063778.989611084
58,940682.5674954243,2506318.248545232,6507670.563608264
59,1017649.532366936,2627847.703255242,6974177.73519305
60,1026764.8950421427,2790548.3884145766,7384220.086756943
